	language	split	speaker id	native language	raised in	dialect	sex	age	occupation	cold or allergy	smoker	supervisor	record date	topic article	tapelabel	record place	environment noise	record conditions	comments
BUL065	BUL	train	065	BG	BG	no	female	23	Musician	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL072	BUL	train	072	BG	NaN	NaN	male	20	NaN	NaN	nonsmoking	Aneliya Mircheva	31.07.05		 --new prompting tool--	middle	loud	Sennheiser HM420	NaN
BUL025	BUL	train	025	Bulgarian	Bulgaria	no	female	26	NaN	NaN	smoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL107	BUL	train	107	BG	BG	no	female	47	NaN	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL073	BUL	train	073	BG	BG	no	female	18	Student	NaN	nonsmoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	loud	Sennheiser HM420	NaN
BUL099	BUL	train	099	BG	BG	no	male	28	Student	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL041	BUL	train	041	BG	BG	no	male	24	NaN	NaN	nonsmoking	Aneliya Mircheva	NaN		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL085	BUL	train	085	BG	BG	no	female	23	Student	NaN	smoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL082	BUL	train	082	BG	BG	no	male	22	Student	NaN	nonsmoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL046	BUL	train	046	BG	BG	no	male	25	Worker	NaN	smoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL052	BUL	train	052	BG	BG	no	female	45	Technician	NaN	smoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL055	BUL	train	055	BG	BG	no	female	55	Engineer	NaN	smoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL104	BUL	train	104	BG	BG	no	female	18	NaN	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	loud	middle	Sennheiser HM420	NaN
BUL098	BUL	train	098	BG	BG	no	male	15	Student	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL062	BUL	train	062	BG	BG	no	male	23	IT Specialist	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL077	BUL	train	077	BG	BG	no	male	23	Student	NaN	nonsmoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL112	BUL	train	112	BG	BG	no	female	23	Student	NaN	smoking	Aneliya Mircheva	07.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL070	BUL	train	070	BG	BG	no	male	34	Student	NaN	nonsmoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	loud	Sennheiser HM420	NaN
BUL043	BUL	train	043	BG	BG	no	female	57	Electrician	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	quiet	quiet	Sennheiser HM420	NaN
BUL045	BUL	train	045	BG	BG	no	female	21	Student	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL093	BUL	train	093	BG	BG	no	female	54	Librarian	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL042	BUL	train	042	BG	BG	no	female	51	NaN	NaN	smoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	quiet	middle	Sennheiser HM420	NaN
BUL101	BUL	train	101	BG	BG	no	female	49	Economist	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL066	BUL	train	066	BG	BG	no	female	57	IT Specialist	NaN	smoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL020	BUL	train	020	Bulgarian	Bulgaria	no	female	33	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL079	BUL	train	079	BG	BG	no	female	22	Student	NaN	nonsmoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	quiet	Sennheiser HM420	NaN
BUL060	BUL	train	060	BG	BG	no	male	23	IT Specialist	NaN	nonsmoking	Aneliya Mircheva	29.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL018	BUL	train	018	Bulgarian	Bulgarian	no	female	23	Student	NaN	nonsmoking	Aneliya Mircheva	05.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL105	BUL	train	105	BG	BG	no	male	35	Teacher	NaN	smoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL068	BUL	train	068	BG	BG	no	female	18	Student	NaN	nonsmoking	Aneliya Mircheva	30.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL051	BUL	train	051	BG	BG	no	female	35	Engineer	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL087	BUL	train	087	BG	BG	no	male	23	Student	NaN	nonsmoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL056	BUL	train	056	BG	BG	no	female	24	Editor	NaN	nonsmoking	Aneliya Mircheva	28.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL092	BUL	train	092	BG	BG	no	female	28	Teacher	NaN	nonsmoking	Aneliya Mircheva	04.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL083	BUL	train	083	BG	BG	no	female	22	Student	NaN	nonsmoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL035	BUL	train	035	Bulgarian	Bulgaria	no	male	56	NaN	NaN	nonsmoking	Aneliya Mircheva	26.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL106	BUL	dev	106	BG	BG	no	female	31	Teacher	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL091	BUL	train	091	BG	BG	no	male	51	Architect	NaN	smoking	Aneliya Mircheva	03.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL088	BUL	train	088	BG	BG	no	female	23	Student	NaN	nonsmoking	Aneliya Mircheva	02.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL110	BUL	eval	110	BG	BG	no	female	20	Student	NaN	nonsmoking	Aneliya Mircheva	07.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL049	BUL	train	049	BG	BG	no	male	48	Engineer	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL071	BUL	train	071	BG	BG	no	male	20	Student	NaN	nonsmoking	Aneliya Mircheva	31.07.2005		 --new prompting tool--	middle	loud	Sennheiser HM420	NaN
BUL103	BUL	train	103	BG	BG	no	female	66	Economist	NaN	nonsmoking	Aneliya Mircheva	05.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL080	BUL	train	080	BG	BG	no	male	25	Engineer	NaN	smoking	Aneliya Mircheva	01.08.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
BUL050	BUL	train	050	BG	BG	no	female	52	Technician	NaN	nonsmoking	Aneliya Mircheva	27.07.2005		 --new prompting tool--	middle	middle	Sennheiser HM420	NaN
HRV033	HRV	train	033 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	27 	student	well 	smoking 	Sanela HABIBIJA 	August 08, 1996		cro4 	private big 	quiet 	ohne Zuhoerer 	 
HRV019	HRV	train	019 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	47 	petroleum expert	well 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	ein Zuhoerer 	 
HRV094	HRV	train	094 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	42 	telephonist	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro12 	Wohnzimmer 	quiet 	keine andere Person anwesend 	Papierrascheln, Pausen 
HRV070	HRV	train	070 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	22 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	keine Zuhoerer, aber dafuer die Autos 	 
HRV035	HRV	train	035 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	27 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 09, 1996		cro5 	private big 	quiet 	ohne Zuhoerer 	 
HRV049	HRV	train	049 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	22 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private big 	quiet 	mehrere Zuhoerer 	 
HRV057	HRV	train	057 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	17 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	 	 
HRV088	HRV	train	088 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	35 	homemaker	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	middle 	3 Personen sitzen am Tisch 	Geraeusche im Hintergrund (Tuer, Papierrascheln, Kochtopf, Kartofelschaelen, andere Leute) 
HRV053	HRV	train	053 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	22 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro6 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV058	HRV	train	058 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	28 	electrical engineer	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	 	 
HRV006	HRV	train	006 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	70 	pensioner	well 	nonsmoking 	Sanela HABIBIJA 	August 04, 1996		cro1 	private small 	quiet 	sehr entspannt 	 
HRV086	HRV	train	086 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	16 	student	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	middle 	4 Personen sitzen am Tisch 	Geraeusche im Hintergrund (die Tuer geht auf); Papierrascheln 
HRV081	HRV	train	081 	Bosnian 	Sarajevo, Bosnia-Hercegovina 	Bosnian 	female 	33 	salesperson	well 	nonsmoking 	Sanela HABIBIJA 	August 14, 1996		cro9 	private small 	quiet 	Das Kind wurde wach und schrie laut 	 
HRV041	HRV	train	041 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	25 	journalist	well 	nonsmoking 	Sanela HABIBIJA 	August 10, 1996		cro5 	private small 	quiet 	ohne Zuhoerer 	 
HRV029	HRV	train	029 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	16 	student	well 	smoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	private small 	middle 	mehrere Zuhoerer 	 
HRV042	HRV	train	042 	Bosnian 	Sarajevo, Bosnia-Hercegovina 	Bosnian 	female 	17 	student	well 	smoking 	Sanela HABIBIJA 	August 11, 1996		cro5 	private small 	middle 	Strassengeraeusche 	 
HRV011	HRV	train	011 	Croatian 	Zagorje, Croatia 	Kajkav 	female 	53 	deliverywoman	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private big 	middle 	ohne Zuhoerer 	 
HRV051	HRV	train	051 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	50 	civil servant	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private small 	quiet 	mehrere Zuhoerer 	 
HRV047	HRV	train	047 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	24 	soldier	well 	nonsmoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private small 	quiet 	 	 
HRV037	HRV	train	037 	Croatian 	Gospic, Croatia 	Standard Croatian 	female 	33 	economist	well 	nonsmoking 	Sanela HABIBIJA 	August 09, 1996		cro5 	office small 	quiet 	ohne Zuhoerer 	 
HRV013	HRV	train	013 	Croatian 	Zagreb, Croatia 	Kajkav 	female 	53 	civil servant	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private small 	quiet 	andere Frau putzte und war schlecht gelaunt  	 
HRV063	HRV	train	063 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	29 	bartender	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	public place 	quiet 	Autos fahren vorbei, andere Zuhoerer 	leider zu viele zu laute Autos 
HRV065	HRV	train	065 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	50 	precision engineer	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro7 	private small 	quiet 	keine Zuhoerer 	 
HRV010	HRV	train	10 	Croatian 	province 	Kajkav 	male 	25 	welder	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV034	HRV	train	034 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	28 	engineer	well 	nonsmoking 	Sanela HABIBIJA 	August 08, 1996		cro4 	private big 	quiet 	ohne Zuhoerer 	 
HRV054	HRV	train	054 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	16 	student	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV074	HRV	train	074 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	24 	student	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro7 	private big 	quiet 	keine Zuhoerer 	 
HRV059	HRV	train	059 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	19 	student	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	 	 
HRV039	HRV	train	039 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	28 	transportation engineer	well 	nonsmoking 	Sanela HABIBIJA 	August 10, 1996		cro5 	private big 	quiet 	ohne Zuhoerer 	 
HRV052	HRV	train	052 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	53 	civil servant	well 	smoking 	Sanela HABIBIJA 	August 12, 1996		cro6 	private small 	quiet 	mehrere Zuhoerer 	 
HRV061	HRV	train	061 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	50 	teacher	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	public place 	quiet 	Autos fahren vorbei 	leider zu viele zu laute Autos 
HRV084	HRV	train	084 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	45 	homemaker	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro9 	private small 	quiet 	 	 
HRV064	HRV	train	064 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	45 	homemaker	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro7 	private big 	quiet 	keine Zuhoerer 	 
HRV077	HRV	train	077 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	38 	nurse	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private big 	quiet 	keine Zuhoerer 	 
HRV023	HRV	train	023 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	58 	civil servant	well 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	sehr entspannt 	 
HRV083	HRV	train	083 	Croatian 	Osijek, Croatia 	Standard Croatian 	female 	19 	student	well 	nonsmoking 	Sanela HABIBIJA 	September 15, 1997		cro10 	private small 	quiet 	keine Zuhoerer 	lebt in Deutschland seit 4 Jahren 
HRV093	HRV	train	093 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	27 	programmer	well 	smoking 	Sanela HABIBIJA 	NaN		cro12 	Buero 	middle 	Die Person ist alleine 	Ploetzliche Stimmen im Gang; vorbeifahrende Autos 
HRV009	HRV	train	009 	Croatian 	Zagorje, Croatia 	Kajkav 	male 	32 	salesperson	sick 	smoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private small 	middle 	keine anderen Zuhoerer, aber Kinder im Gang 	 
HRV062	HRV	train	062 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	19 	homemaker	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	public place 	quiet 	Autos fahren vorbei, andere Zuhoerer 	leider zu viele zu laute Autos 
HRV012	HRV	train	012 	Croatian 	Zagorje, Croatia 	Kajkav 	male 	27 	locksmith	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private big 	middle 	ohne Zuhoerer 	 
HRV090	HRV	train	090 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	21 	unemployed	well 	smoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	quiet 	eine Person sitzen am Tisch nebenan und isst 	Papierrascheln; Kuehlschrank, Tuer, Husten 
HRV091	HRV	train	091 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	16 	student	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	quiet 	Person sitzt alleine am Tisch; jemand geht staendig raus und rein 	Papierrascheln; Boden, tuer, leises Gespraech im Hintergrund 
HRV017	HRV	train	017 	Croatian 	Nothern Bosnia 	Standard Croatian 	male 	40 	driver	well 	smoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private small 	loud 	der Nachbar baut sein haus um 	 
HRV038	HRV	train	038 	Croatian 	Karlovac, Croatia 	Standard Croatian 	male 	40 	engineer	well 	nonsmoking 	Sanela HABIBIJA 	August 10, 1996		cro5 	private big 	quiet 	ohne Zuhoerer 	 
HRV005	HRV	train	005 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	female 	78 	pensioner	well 	nonsmoking 	Sanela HABIBIJA 	August 04, 1996		cro1 	private small 	quiet 	sehr entspannt 	 
HRV004	HRV	train	004 	Croatian 	Slavonski Brod, Croatia 	Standard Croatian 	male 	43 	pharmacist	sick 	smoking 	Sanela HABIBIJA 	August 03, 1996		cro1 	private small 	quiet 	keine anderen Zuhoerer 	 
HRV026	HRV	train	026 	Croatian 	Zagreb, Croatia 	Standard Croatian 	male 	25 	musician	well 	smoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	office small 	quiet 	keine Zuhoerer 	 
HRV069	HRV	train	069 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	20 	student	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	Laute Strassengeraeusche  (Autos); einige Zuhoerer  	 
HRV089	HRV	train	089 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	16 	student	well 	nonsmoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	middle 	3 Personen sitzen am Tisch nebenan 	Papierrascheln 
HRV044	HRV	train	044 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	17 	student	well 	smoking 	Sanela HABIBIJA 	August 11, 1996		cro6 	private small 	middle 	Strassengeraeusche 	 
HRV016	HRV	train	016 	Croatian 	Nothern Bosnia 	Standard Croatian 	male 	37 	electrician	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private small 	loud 	Laeute nebenan laut (anderer Raum) 	 
HRV030	HRV	train	030 	Croatian 	Zagreb, Croatia 	Zagreb dialect 	male 	16 	student	well 	smoking 	Sanela HABIBIJA 	August 07, 1996		cro4 	private small 	loud 	noch jemand anwesend 	Strassengeraeusche umvermeidbar 
HRV025	HRV	train	025 	Croatian 	Zagreb, Croatia 	Standard Croatian 	female 	72 	pensioner	well 	nonsmoking 	Sanela HABIBIJA 	August 06, 1996		cro3 	private small 	quiet 	sehr entspannt 	 
HRV068	HRV	train	068 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	male 	35 	technician	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	Laute Strassengeraeusche  (Autos) 	 
HRV076	HRV	train	076 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	40 	salesperson	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro7 	private small 	quiet 	keine Zuhoerer 	 
HRV087	HRV	train	087 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	34 	tailor	well 	smoking 	Sanela HABIBIJA 	NaN		cro11 	Wohnzimmer 	middle 	4 Personen sitzen am Tisch 	Geraeusche im Hintergrund (die Tuer geht auf, das Telefon klingelt); Papierrascheln 
HRV056	HRV	train	056 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	18 	student	well 	smoking 	Sanela HABIBIJA 	August 13, 1996		cro8 	private small 	quiet 	 	 
HRV066	HRV	train	066 	Bosnian 	Konjic, Bosnia-Hercegovina 	Bosnian 	female 	40 	worker	well 	nonsmoking 	Sanela HABIBIJA 	August 13, 1996		cro7 	private small 	quiet 	keine Zuhoerer 	 
HRV015	HRV	train	015 	Croatian 	Nothern Bosnia 	Standard Croatian 	female 	37 	consultant	well 	nonsmoking 	Sanela HABIBIJA 	August 05, 1996		cro2 	private big 	middle 	Ein Nachbar baut sein Haus um 	 
